src,mt,ref,score,year,system
"'I personally don't see a huge resemblance, maybe besides the facial hair,' Brady told Huffington Post.",布雷迪告诉《赫芬顿邮报》。,“我自认为除了络腮胡以外，并不是长得很像，”布莱迪对《赫芬顿邮报》(Huffington Post) 说。,1.2159900392592,2017,REFERENCE
"These little persuaders are girls and boys of her village who were recommended to attend the training at the same time, including Zhang Binbin's cousin.",这些小说服者是她村里的女孩和男孩，他们被建议同时参加培训，其中包括张彬彬的表弟。,这些“小说客”是当年同时被推荐参加集训的同村小孩，其中还有张彬彬的表姐。,1.17216418217883,2017,REFERENCE
"Since last year, Guodian Group has exported a total of 163 sets of wind power projects from Lianyungang Port to South Africa.",自去年以来，国电集团共向南非出口了163套风力发电项目。,自去年以来，国电集团共计有163套风电项目陆续从连云港港出口南非。,1.2159900392592,2017,REFERENCE
Huang Yilin was a student of grade 2015 in the Landscape Architecture College of Central South University of Forestry and Technology.,黄伊琳是中央南方林业科技大学景观建筑学院的2015年级学生。,黄伊琳是中南林科大风景园林学院2015级的学生。,1.00006741167049,2017,REFERENCE
"According to Han Zhiyuan, his department had treated some 25-year-old myocardial infarction or stroke patients. This is largely due to long-term stay up of patients.",据韩致远说，他的部门治疗了约25岁的心肌梗死或中风患者。这在很大程度上是由于病人的长期滞留。,韩志远介绍，今年以来，其科室已接诊了一些25岁左右的心肌梗塞或者脑中风患者，这很大程度上是患者长期熬夜的生活方式造成的。,1.00006741167049,2017,REFERENCE
The child's grandparents identified him to CBS Philadelphia as Mahaj Brown.,孩子的祖父母把他确定CBS费城作为Mahaj·布朗。,孩子的祖父母向 CBS Philadelphia 证实，遭枪击的孩子是 Mahaj Brown。,1.32867028134887,2017,REFERENCE
"The current forum was chaired by Professor Cao Xianqiang, the Executive Vice President of School of Politics and Public Administration, Shandong University.",目前的论坛由山东大学政治与公共行政学院执行副校长曹宪强教授主持。,本期大讲坛由山东大学政治与公共管理学院常务副院长曹现强教授主持。,1.37405425472481,2017,REFERENCE
"WCCB, a local news affiliate in Charlotte, reported Phillip recently left the campaign.",wCCB(wCCB)在夏洛特的一家当地新闻公司报道，菲利普最近离开了这场运动。,据夏洛特当地的一家新闻社WCCB报道，菲利普于近期离开了竞选团队。,1.41943822810076,2017,REFERENCE
"But the official claim - that a man once touted as a potential president, suddenly wanted to run Russia's environmental policy - has been met with great scepticism.",但官方宣称，一位曾经被吹捧为潜在总统的人突然想要管理俄罗斯的环境政策，这一说法受到了极大的怀疑。,但是，官方说法——一个曾被视为总统候选人的人选突然间选择执掌俄罗斯的环境政策——引来了众多怀疑。,1.37405425472481,2017,REFERENCE
"Gymnastics develops strength, flexibility and coordination for the body and hard work, discipline and determination for the mind.",体操培养力量、灵活性与协调的身体和努力的工作、纪律和思想的决心。,体操有助于培养身体的力量、灵活性及协调性，还有助于培养吃苦耐劳的精神、自律性及决心。,1.37405425472481,2017,REFERENCE
Bam was on that team.,巴姆在那个队上。,巴姆也在当时的那支队伍中。,1.41943822810076,2017,REFERENCE
And teammate Aly Raisman earned silver.,队友阿里·Raisman获得了银牌。,她的队友阿里·莱斯曼斩获了银牌。,1.00006741167049,2017,REFERENCE
We appreciate all he has done for our organization and wish him the best of luck in the future.,我们赞赏他为我们的组织所做的一切，并祝愿他未来的好运。,我们对他为俱乐部所作出的贡献表示感谢，并且希望他在未来一帆风顺。,1.47771028210081,2017,REFERENCE
"Heathrow will also deliver regeneration and prosperity not just in our local communities and across London, but across the country.",希思罗机场也将不仅在我们的当地社区，而且在整个伦敦，而在全国各地提供复兴和繁荣。,希思罗也将为我们的社区、伦敦以及整个国家带来活力与繁荣。,1.25060314479525,2017,REFERENCE
"Unlike many Internet medical companies which go in for grandiose projects, iBaby focuses on the Internet obstetrics vertical field and be professional on pregnant mothers and doctors.",与许多从事宏伟项目的互联网医疗公司不同，iBaby专注于互联网的产科垂直领域，并在怀孕的母亲和医生上专业。,与很多互联网医疗公司贪大求全不同，iBaby从最初就专注于互联网产科垂直领域，深耕孕妈和医生两端。,1.25060314479525,2017,REFERENCE
"Soon after, Scott Russel who was hosting CBC's broadcast apologized on-air for MacDonald's comment, saying: 'We apologize the comment on a swim performance made it to air.'",不久，前主办广播公司广播的斯科特·鲁塞尔(鲁塞尔)对麦克唐纳的评论表示歉意，他说：“我们对游泳的表现表示歉意”,不久后，CBC 广播主持人 Scott Russel 就拜伦的言论在直播中道歉，他说：“我们对直播游泳选手表现的评论而道歉。”,1.46645936638592,2017,REFERENCE
Lord Paul Deighton is chairman of the Heathrow Board and former Commercial Secretary to the Treasury,保罗勋爵是希斯罗机场的董事长，前商业商务秘书,保罗·戴顿勋爵是希思罗机场董事会主席和前英国财政部商务参赞,1.08865499972171,2017,REFERENCE
But Mr Putin's smile looked thin and he was hardly oozing warmth even by his own restrained standards.,但是，普京的微笑看起来很瘦，即使是他自己的限制标准，他也几乎没有从。,然而，即使是按照普京先生一向内敛的标准来看，普京也只是浅浅微笑，几乎未流露出热情之意。,1.25060314479525,2017,REFERENCE
"""Queensland's community legal centres are chronically underfunded, meaning thousands of people are turned away from the vital services they need,"" he said.",他说：“昆士兰的社区法律中心长期的资金不足，这意味着成千上万的人失去了他们所需要的重要服务，”他说。,他表示：“昆士兰的社区法律中心长期处于资金不足的状况，这意味着数千人将无法获得所需要的重要服务。”,1.08865499972171,2017,REFERENCE
"The renovation work of Dehong old weightlifting hall and martial arts museum, Mang City Yixiao Wrestling arena, Silver Tower Scenic Area mountain bike track has been completed.",Dehong旧和武术博物馆、莽Yixiao竞技场、西尔弗风景区山区的改造工作已经完成。,德宏州老体协举重馆和武术馆、芒市一小摔跤馆、银塔景区山地自行车赛道等修缮工作已完成。,1.08865499972171,2017,REFERENCE
He voiced particular alarm about postal voting fraud - in which senior members of the Muslim community were said to have exerted pressure on people to vote for a candidate of their choosing.,他对邮政投票欺诈表示特别震惊，据说穆斯林社区的高级成员对人们施加压力，迫使他们投票支持他们选择的候选人。,他特别警示了邮寄选举舞弊，据说，穆斯林社区的资深成员对选民施加压力，迫使这些选民给他们指定的候选人投票。,1.25060314479525,2017,REFERENCE
"She ranked first in the table tennis for 8 years to maintain the world's first and is a female athlete to rank as the ""the world's first"" for the longest time in the history of table tennis.",她在乒乓球中排名第一，以保持世界的首位，是一名女性运动员，在乒乓球历史上最长的时间是“世界第一”。,她在乒坛排名连续8年保持世界第一，是乒乓球史上排名“世界第一”时间最长的女运动员。,1.08865499972171,2017,REFERENCE
"The case dates back to 2013 when Gilead and Merck sued each other, claiming ownership of laboratory work underlying sofosbuvir, the active ingredient in Gilead's drugs.",这一案件可以追溯到2013年，当时基列和默克互相起诉，声称所有权是基列的活性成分。,该案最早要追溯到2013年，当时吉利德和默克互相起诉对方，双方都声称自己是吉利德药物中的有效成分 —— 索非布韦的实验室工作的所有者。,1.08865499972171,2017,REFERENCE
"As these winds travel across the stars' magnetic fields, they enact a braking effect on the stars.",由于这些风穿过恒星的磁场，它们对恒星产生了制动效应。,当这些恒星风穿过恒星的磁场时，它们会对恒星产生制动作用。,1.30069020315576,2017,REFERENCE
The Junior Doctors Committee (JDC) of the British Medical Association (BMA) is to ask its full council to back more industrial action from early September.,英国医学协会的初级医生委员会(JDC)将要求其全体理事会从9月初恢复更多的工业行动。,英国医学协会初级医生委员会将要求其全体成员自九月初开始支持更多的劳工行动。,1.46645936638592,2017,REFERENCE
"But the problem is, with the arrival of Durant, Thompson's appearance ratio will surely decline, which is bound to affect his play.",但问题是，随着杜兰特的到来，汤普森的出现肯定会下降，这必然会影响他的比赛。,不过问题是，随着杜兰特的到来，汤普森的使用率一定会下降，这势必将影响他的发挥。,1.46645936638592,2017,REFERENCE
Helen Glover and Heather Stanning haven't lost a race in five years.,海伦·格洛弗和希瑟·斯坦宁在五年里没有输掉一场比赛。,海伦·格拉芙和希瑟·斯坦宁在五年中未尝败绩。,1.72554419469105,2017,REFERENCE
"""After knowing this special festival online, I decided to come and I felt quite fresh.""",在网上了解这一特别节日后，我决定来了，我觉得很新鲜。,“在网上查到这个特别的节日，所以决定来看看，感到很新鲜。”,1.30069020315576,2017,REFERENCE
"These clubs are where the gymnasts get all of their training, and it's a costly and long-term commitment for the gymnasts' families.",这些俱乐部是体操运动员获得所有训练的地方，这是对体操运动员家庭的一项昂贵的长期承诺。,体操运动员的所有训练都在这些俱乐部完成，对体操运动员的家庭而言是一笔长期的昂贵开支。,1.30069020315576,2017,REFERENCE
"On Monday, OPEC Chairman and Qatar Energy Minister Sada said OPEC will hold an informal meeting during the International Energy Forum on September 26-28.",周一，欧佩克主席和卡塔尔能源部长萨达特却说，欧佩克将在9月26日至28日国际能源论坛期间举行一次非正式会议。,本周一，OPEC轮值主席兼卡塔尔能源大臣萨达表示，OPEC将在9月26-28日的国际能源论坛期间举行非正式会议。,1.43168133024597,2017,REFERENCE
"Japanese oil companies expressed vigilance to the rise of Chinese oil companies, especially known as the ""teapot"" of China's small independent refinery.",日本石油公司对中国石油公司的崛起表示警惕，特别是中国小型独立炼油厂的“茶壶”。,日本油企尤其对被称为“茶壶”的中国小型独立炼油厂崛起表示警惕。,1.30069020315576,2017,REFERENCE
"Okafor's situation is more embarrassing. As the first choice of 76 people last season, he had to compete for playing time and ball right with Simmons and Enby in the new season.",奥卡福尔的情况更令人尴尬。作为上赛季76人的首次选择，他不得不在新赛季与西蒙斯和斜交争夺比赛时间和球。,奥卡福的情况比较尴尬，作为上赛季76人的第一选择，他在新赛季不得不和西蒙斯以及恩比德竞争上场时间和球权。,1.46645936638592,2017,REFERENCE
These areas have increased the conveniences of children to attend college entrance examination in the local place while meeting the related requirement.,这些地区增加了儿童在当地参加大学入学考试的便利，同时满足有关要求。,这些地区均增加了子女在满足相关条件下可在当地参加中高考的便利。,1.46645936638592,2017,REFERENCE
It would have been very cynical three years ago if we'd said we're going to be a great bank for customers and put those brands out there.,三年前，如果我们说我们将成为一家为客户提供的大银行，并把这些品牌放在那里，这将是非常愤世嫉俗的。,如果三年前我们立志成为一家拥有众多品牌的大银行将备受嘲讽。,1.46645936638592,2017,REFERENCE
"""A Square Meal"" is a feast of historical tidbits.",““是一个历史飑线的盛宴。,《丰盛大餐》是一顿丰盛的“历史珍味”。,1.2159900392592,2017,REFERENCE
