src,VPC_Candidate,Prediction
"""I didn't give up anything.""",give up,positive
"""I don't care what else I've done in my life ― I won an Emmy, I won an Oscar, two Tonys ― but if I mess this up, this'll be the defining moment in my life,"" she told host Kimmel.",mess up,positive
"""I had to wear a fat suit,"" Davis told host Jimmy Kimmel. ""I loved it. I told them that I wanted really, really big [expletive]. I wanted to look like the women I grew up with.""",grew up,positive
"""I said n---a, get off my property!""",get off,positive
"""I saw Kante coming and took one touch and didn't think about it too much and just took the shot on.""",took on,positive
"""I think that when I think about the replay, I think that we can probably work it out,"" Coker said.",work out,positive
"""I think we still might take them up on it,"" Mr. Rodriguez said.",take up,positive
"""I thought about asking, and I thought about even using audio footage - that we have to come up with something - and in the end I didn't ask, and I just thought, 'I'm going to respect her new life and not put her in the position of having to ask'.",come up,positive
"""I thought it was sort of a joke, but it turns out they were right.""",turns out,positive
"""I thought my elder brother and I cannot afford the college study after my father passed away. It never occurred to me before the county government helped us so timely."" She said gratefully.",passed away,positive
"""I used to make clothes and do some sowing jobs. Binbin picked up some scraps to make her own dolls.""",picked up,positive
"""I want to carry on living,"" he said at the time of the CPJ award.",carry on,positive
"""I welled up at just the thumbprint on the side of a letter, written by a double agent in the 1700s who was working for the Jacobites,"" he says.",welled up,positive
"""I will first judge our start to the season after six to eight matches,"" said Friedhelm Funkel, who did not wish to talk of an advantage over Aue just because the Saxony team's game in Heidenhelm had to be cut-off early due to a storm.",cut off,positive
"""I would try to sleep and my body would just start shaking, and then I just started to freak out and I'd start crying,"" Corona told ABC-7.",freak out,positive
"""I'll have a rest for a bit now and come back for next season ready to go. Fortunately I don't feel my age, my legs are still fine and touch wood I don't pick up many injuries, so it's about keeping on top of that and come back as strong as I can next year.""",pick up,positive
"""I'm not saying that we should stop our tests,"" he went on to explain.",went on,positive
"""I'm terrified. I'm absolutely terrified,"" Davis said. ""I don't care what else I've done in my life -- I've won an Emmy, I've won an Oscar, two Tonys -- but if I mess this up, this is going to be a defining moment in my life.""",mess up,positive
"""If NGOs do not sign up to a new code of conduct, it is difficult to see how they can continue operating,"" Interior Minister Marco Minniti said in an interview with Turin daily La Stampa.",sign up,positive
"""If you can find out some of the mechanisms you can look at potential interventions,"" she added.",find out,positive
"""If you look at the US, huge quantities of this treatment have been used on an arbitrary willy-nilly basis. The UK excels beyond measure compared with what's going on there,"" he added.",going on,positive
"""If you suffocate people and they don't have any other options but to protest, it breaks out,"" said Seyoum Teshome, a university lecturer in central Ethiopia.",breaks out,positive
"""Imagine you're playing in the AFL but you're training with an amateur club, then you go out on a Saturday and play with the AFL boys,"" he said.",go out,positive
"""In Mexico you die because they want to shut you up,"" Ramirez said.",shut up,positive
"""In fact, in a perverse way, the tariffs might be helping, because they're contributing to the worldwide slowdown that's driving down commodity prices, giving Herman Miller and Steelcase lower raw costs,"" Cramer said.",driving down,positive
"""In order not to miss this connection at least, they agreed with her that they would count out loud,"" the spokesman said.",count out,positive
"""In the days following the phone call, I learned from multiple U.S. officials that senior White House officials had intervened to ""lock down"" all records of the phone call, especially the official word-for-word transcript of the call that was produced - as customary - by the White House Situation Room,"" the whistleblower stated.",lock down,positive
"""Isn't it time to take some time out, go around the golf course.""",take out,positive
"""It is a scandal that the CDU in Lower Saxony plays along in this dirty scheming and attempts to score political points from it.""",plays along,positive
"""It is great to be able to get back on the podium and to hear the national anthem, it feels amazing,"" smiled Phelps while his eyes welled up with tears.",welled up,positive
"""It is important to note these steps are a demonstration of our commitment to regional partners, and the security and stability in the Middle East. Other countries have called out Iranian misadventures in the region, and we look for them to reinforce Saudi Arabia's defense,"" Hoffman wrote.",called out,positive
"""It is showing there is some kind of additional risk from air pollution for infant death but the way that it has been set up is quite a crude analysis,"" said Toledano.",set up,positive
"""It is taking a while for agents to get up to speed with pricing and the valuation may not be as reflective as the mood on the ground,"" she said.",get up,positive
"""It was disappointing, more the way we've ended up losing the game,"" he said on Sky Sports at full-time.",ended up,positive
"""It was not a well-thought-out decision,"" she said to me with a laugh 30 years later.",thought out,positive
"""It wasn't the ideal way to get started, to have to call the referee right after the first shot, but then it settled down a bit,"" said Curry about his enormous stage fright.",settled down,positive
"""It's been a bit of a Catch 22 the major banks have got access to the lower cost funding but they are more risk averse so they don't actually go out to lend in the same way, they can't get access to the data and they can't get comfortable unless you have property,"" he said ""Until we can access that cheaper funding I think there is a fiction out in the market on how popular the scheme is going to be.""",go out,positive
"""It's been a bit of a Catch 22 the major banks have got access to the lower cost funding but they are more risk averse so they don't actually go out to lend in the same way, they can't get access to the data and they can't get comfortable unless you have property,"" he said. ""Until we can access that cheaper funding I think there is a fiction out in the market on how popular the scheme is going to be.""",go out,positive
"""It's clear we are going to completely break up this group,"" Duque said in a statement from the United States, where he traveled for the United Nations General Assembly this week.",break up,positive
"""It's either that they had no diverse representation of people of color on their staff to the point where they're able to make decisions like this,"" Ms. Zhu, who is Chinese-American, said, ""or they do have some people of color who are working there, but they're not on positions where they feel safe or comfortable to speak up.""",speak up,positive
"""It's just not about the committee vote or the final vote or whether Kavanaugh is put on the bench, it's also about the way Republicans have handled this and how they have treated her,"" Guy Cecil, director of Priorities USA, a group that helps to elect Democrats, pointed out to the news channel.",pointed out,positive
"""It's like, 'You raised a great kid, but you messed up Michelle Obama,'"" she jokingly added.",messed up,positive
"""It's very rare for this type of thing to come up,"" he said.",come up,positive
"""Just seen all the Wiley stuff.  Why on earth have @Twitter left up such blatant antisemitism and hatred?  It hits all the dangerous beats, Jews get things you don't get, they are in control, they think their better...  This is dangerous stuff.  Surely it should come down.""",left up,positive
"""Luigi often said to me that he never wanted the brothers to end up in court,"" she wrote.",end up,positive
"""My calls to the people and the armed forces of #Cambodia to rise up against the regime will continue until the regime has restored to the opposition its right to participate in the country's political life including genuine elections,"" Sam Rainsy said on Twitter earlier this week.",rise up,positive
"""My mind's made up about Brett Kavanaugh and it would take a dynamite accusation,"" he said.",made up,positive
"""My own flight is very different from being abruptly dragged off by a massive, pink dragon!""",dragged off,positive
"""My own view is that we should hold firm, letting things settle and watching how events play out,"" he said in prepared remarks Friday to the Shadow Open Market Committee of economists who monitor Fed activity.",play out,positive
"""My wife writes down the numbers for me during the drawing,"" Lancaster said. ""When she handed me the paper, so I could check my ticket, I couldn't believe it. One of my lines matched five numbers and the other ones matched four numbers. I started shouting, 'I got it! I got it! I hit the lottery!'""",writes down,positive
"""Now the tricycle is mostly and illegally operated at night. We hope the competent authorities can also intensify efforts to carry out renovation.""",carry out,positive
"""Now, in retrospect, it's really scared! To be honest, when my child does not hold on to the riverbank, my heart is broken soon.""",hold on,positive
"""Obviously, this is a huge deal for us."" Stein said. ""We're reaching out directly to every single family in person to make sure that all their questions are answered.""",reaching out,positive
"""One single blood donation helps multiple people,"" explained the district head of the on-call service of the German Red Cross (DRK), Holger Maisenbacher, for the reserves are broken down into their components.",broken down,positive
"""Only a Conservative government will stand up for those who voted ""No"" in what was meant to be a once in a generation event.""",stand up,positive
"""Oregon has a really strong labor movement that is really building from the ground up,"" Burley explains. ""This is a part of the national wave of labor growth. People are seeing a precarious economy where real wages are falling and the solution is collective action in the workplace.""",building up,positive
"""Other countries have called out Iranian misadventures in the region, and we look for them to contribute assets in an international effort to reinforce Saudi Arabia's defense,"" Pentagon spokesman Jonathan Hoffman said.",called out,positive
"""Our father would not have wanted to see Paul and I end up in our current dispute,"" he said, adding that he was ""still hopeful of resolution.""",end up,positive
"""Shame on you,"" another post stated, pointing out that the hotel, located in the noble Kurfurstendamm street stands near a synagogue.",pointing out,positive
"""She loves to take the arms and the legs off and they love to sit next to each other without the prosthetics on.""",take off,positive
"""So never shut up.""",shut up,positive
"""So they call and they get very disappointed because the expectation has been put out there that there is discount pricing and we look at our cost of funding which hasn't changed at all.""",put out,positive
"""That's what this astonishing ship will be here to do, to find out the facts and find the science with which to deal with problems that are facing the world today and will increasingly do so tomorrow.""",find out,positive
"""The evidence indicated that HSBC understood this relationship but intentionally sold out its customer's confidential business documents to the US side so that the US government could overlook the British bank's own misconduct and not punish it under the 2012 Deferred Prosecution Agreement,"" the newspaper said in one of its articles on the matter.",sold out,positive
"""The evidence linking infant mortality and air pollution is still emerging but Dr Kotecha's study, which suggests babies born in the UK's most polluted areas see a significantly increased risk of death, should be a wake-up call to government,"" she said.",wake up,positive
"""The habit of denoting the Catholic Church as the source of all evil is now a part of our everyday experience and sets up public opinion for considering that as normal,"" writes Scaraffia.",sets up,positive
"""The incredible pride I feel, to beat Tiger Woods, I grew up watching that guy,"" said 23-year-old Rahm.",grew up,positive
"""The league might even have done me a favour in 2014 - I'd played for 20 years without a break,"" Rodriguez said, summing things up.",summing up,positive
"""The one thing that could happen and the beautiful thing that is going on over the last few days in the Senate, when you see the anger, when you see people that are angry and mean and nasty and untruthful,"" he said.",going on,positive
"""The only objective Democrats have is to defeat Donald Trump, and they've cynically decided the best way to defeat Donald Trump is shut down every business in America, shut down every school in America,"" he said.",shut down,positive
"""The other thing, there is a lot of talk about Biden's son, that Biden stopped prosecution and a lot of people want to find out about that so whatever you can do with the Attorney General would be great,"" he said. ""Biden went around bragging that he stopped the prosecution, so if you can look into it...sounds horrible to me.""",find out,positive
"""The press"" has set out to see what the group could fight off and what could really do it harm.",set out,positive
"""The shot is far below the dew point, the instant you take it out, it's just soaking wet and it's dripping water,"" the American said. ""It's worse than if it was pouring down rain... We've been fighting this a little bit.""",take out,positive
"""There are lots and lots of small drugs trials involving a few dozen or a few hundred patients going on in the US but nothing of any substance,"" added Landray.",going on,positive
"""There are no needles washing out to the Bay or Ocean from our sewer system, and there is no relationship between homelessness and water quality in San Francisco,"" she said in a statement.",washing out,positive
"""There is still a long way to go on policy but he's made a really impressive start and he's got to a situation where for a lot of people who had really given up on the Labour party, voters as it were, I think they are now looking at it again much more sympathetically and they regard him as a serious figure.""",given up,positive
"""There was a specific time at the end of the day, when daylight was failing and the streetlights came on, when everything seemed to glow,"" says Levene.",came on,positive
"""There were considerable infringements,"" said King, who had taken a look on-site to see what was going on.",going on,positive
"""There's not something you hear a lot 'I'm just dropping him off in Glasgow,' "" the ticket guy said.",dropping off,positive
"""They all held down day jobs,"" said Jones.",held down,positive
"""They are failing to do large, randomised trials and that ends up providing bad medicine. It makes the practice of medicine poorer and the outcomes for patients poorer.""",ends up,positive
"""They are the last big minority in Turkey: the Christian Armenians and the Greeks have already been exterminated or driven out over the past hundred years,"" said Toprak, who is also a member of the CDU.",driven out,positive
"""They grow up to a metre long,"" said Martin Vobruba, a spokesperson for the zoo.",grow up,positive
"""They kept laughing and calling me names,"" Amari told CBS affiliate WUSA-TV, tearing up.",tearing up,positive
"""They kept laughing and calling me names,"" Amari told CBS affiliate WUSA-TV, tearing up. ""They called me 'ugly,' said, 'I shouldn't have been born.' They called me 'an attention-seeker.'""",tearing up,positive
"""Things are really taking off!",taking off,positive
"""This is a test to see how people engage with this new format. We hope to learn from this over time in order to see if we will roll this out more broadly,"" it said.",roll out,positive
"""This strike is going to have a lot of effect when people keep showing up, not just today but also in the future and we see different kinds of people from all walks of life,"" said protester Reinder Rustema.",showing up,positive
"""Those who cannot stand the historical existence of a Turkish nation and a Turkish homeland, those who have made mistakes, those with lengthy criminal records, those whose ideology is mixed up and whose mindset is confused, all of whom are rubbing their hands in some sort of expectation.""",mixed up,positive
"""Time is running out,"" German Foreign Minister Annalena Baerbock told reporters in Liverpool, England where G7 foreign ministers are meeting.",running out,positive
"""To help ensure that the foreign relations of the United States are carried out in good faith, I request that you investigate these and other circumstances described in the complaint and preserve all relevant records,"" Harris, another 2020 presidential contender, wrote.",carried out,positive
"""Travelers to Greece across the land border, regardless of their citizenship, must also fill in an electronic passenger localization form (PLF) generating a QR code at least 24 hours before arrival,"" the Foreign Ministry explained.",fill in,positive
"""Waking up very early is common with depression, in particular,"" says Weeß.",Waking up,positive
"""We all need to learn to put our phones down from time to time,"" said Janina Kugel, Siemens HR Director.",put down,positive
"""We always tell victims not to pay up: that simply exacerbates the problem,"" explains Kleczynski.",pay up,positive
"""We are carrying out a number of enquiries to try to identify those responsible.",carrying out,positive
"""We are grateful for the jurors' rapt attention over the last many weeks to every piece of evidence in the case,"" Harris County District Attorney Kim Ogg said in a statement. ""There was never a reasonable doubt that Haskell meticulously planned and carried out the slaughter of the Stay family.""",carried out,positive
"""We embrace it and we're trying to understand it and we'll push on that until we work it out,"" Black said.",push on,positive
"""We have 12 important matches tomorrow, but you'd like to get off to that fast start like you saw at Brookline, like you saw at Medinah.",get off,positive
"""We have shut down twenty mosques since December and other will follow,"" said the Interior Minister Bernard Cazeneuve.",shut down,positive
"""We naturally assume that she will give up her seat in Parliament, which she won on a Green party ticket, with immediate effect,"" communicated state chairpersons Meta Janssen-Kucz and Stefan Körner.",give up,positive
"""We take seriously the emotional and physical well-being of all our students, and have a zero-tolerance policy for any kind of bullying or abuse,"" Immanuel Christian School said in a statement. ""We are deeply disturbed by the allegations being made, and are in communication with the family of the alleged victim to gather information and provide whatever support we can. We have also reached out to law enforcement to ask them to conduct a thorough investigation, and further inquiries should be directed to the Fairfax County Police.""",reached out,positive
"""We were sleeping and we woke up to the fire alarm and people screaming.",woke up,positive
"""We woke up and the water kept on coming,"" Hansford said.",woke up,positive
"""We're like their social workers!"" pipes up a co-worker from a stack of records.",pipes up,positive
"""What this really does to me is make me think that lynchings are still going on,"" she added, ""they're just called police shootings now.""",going on,positive
"""When I look at the podium for the 200m Freestyle, I want to throw up,"" Lacourt said on French radio.",throw up,positive
"""Yeah and I'm coming back today,"" I said. ""I'm just dropping him off in Glasgow,"" I attempted to explain, gesturing at my traveling companion.",dropping off,positive
"""You are always publishing reports on coronavirus or coming up with arguments on Brexit.",coming up,positive
"""You are always publishing reports on coronavirus or coming up with arguments on Brexit.""",coming up,positive
"""You can be on the mat at any one time with three or four champions, mixing it up with them,"" he said.",mixing up,positive
"""You cannot say that to the press,"" Trump repeatedly urged in a discussion on 27 January, and threatened to break off contacts with the Mexican President if he continued to issue defiant statements.",break off,positive
"#CNN needs to just close down. Yesterday's fiasco with #MangoMoron was an outrageous fiasco. Who at that pathetic, dying network was responsible for vetting the so-called ""independent voters"" in the audience? Which cable news ""executive"" made the call to give the fat, lying criminal this much air-time?",close down,positive
"#Venting into the Fediverse time. The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub. When we went to check out, the cashier is a fairly obvious #trans woman. Me, in board shorts and a wife beater, and The Domestic Partner, all tatted up and with a new haircut that he himself described as ""making me look like a neo-nazi"". Her body immediately stiffened and there was this look of fear in her eyes.",check out,positive
"#ZBFest is put on by the Zolotaya Balka company, in honor of International Champagne Day.",put on,positive
"'At the end of it one girl came up to me and said: 'Why am I only being told this now, in my senior year?'",came up,positive
'Everyone was staring as she took the knickers off again and obviously didn't like them because she put them back on the shelf.',took off,positive
"'I'd hate to get home with a new pair of knickers and find another woman had put them on and taken them off again, and they hadn't been washed.'",put on,positive
"'This sends out to those who feel that they can behave without recrimination, as well as those blighted by such behaviour,' she said.",sends out,positive
"'What have we been teaching men when they're growing up, in terms of the problem we see now?'",growing up,positive
(Against New Zealand) we have to go out and put out something that we are proud of.,go out,positive
"(PERSON1) Yeah, because I think it's a method which is very easy to test, and it always should be tested in contrast with the two encoders, and I would expect sometimes to be better and sometimes to be worse than the two encoders set up, depending on the exact task like what exactly is the second thing that you are encoding.",set up,positive
"(PERSON1) Yeah, because I think it's a method which is very easy to test, and it always should be tested in contrast with the two encoders, and I would expect sometimes to be better and sometimes to be worse than the two encoders set up, depending on the exact task like what exactly is the second thing that you are encoding. So, maybe if you have two copies two paraphrases of the same sentence, maybe it is somehow confusing for the attention so whatever, I don't know. Behaviour also could be different for the old sequence-to-sequence methods, compared to transformer, so for RNN then it behaved differently maybe with transformer it's yeah, it's harder to train so maybe you need to whatever increase warm-ups number, warm-up sets.",set up,positive
"(PERSON1) and then, we'll figure out which packages to install in the Petri environment.",figure out,positive
"(PERSON11) It should be doable, so let's give it a try. It would be like - it would be great if you managed to do that. So, I'll write it down. So, <parallel_talk> aiming towards [ORGANISATION62] deadline with subtitler study paper. </parallel_talk> Yes <parallel_talk> and then then a multi-source with [PERSON7] or based upon [PERSON7] or - </parallel_talk> And for the language ID, I'm curious how do you want to integrate it exactly because it already involves considering multiple ASR sources, multiple channels, so what would be the use case for the for the language ID? How do we plug that in?",write down,positive
"(PERSON11) That is important. Please write this down here into the documenter this <unintelligible/> summary, because that is for [PERSON2]. And also [PERSON2], when you talk to [PERSON10], well and also possibly [PERSON5]. If we have this tool, we need to (ship) the audio to multiple ASR or multiple workers <unintelligible/> We will separately need to (ship) the audio to the English ASR, separately to the German ASR and the Czech ASR, for example depending on the <other_noise/> And also, to this language ID worker and then we need to merge these outputs, and this is tool which we do not have yet. That's the multi-source tool, which will be observing the text outputs and also following the time stamps and it would emit the - it would probably like produce the output into three separate language channels for using either silence or the correct ASR. So, we need a filter for the ASRs, so that the ASR is silent if it's the wrong language and it is the recognized text if it's the correct language. I just made it up this type of setup. Another of setup would be that same sound is shipped to ASR and this language checker. This language checker is essentially a part of the ASR, silencing the ASR if it's the wrong language. That's also an option. So, we need to figure out which way of integrating the language ID is the best for our purposes. So, please keep thinking about this like what are our pipelines. Ideally, I think that the least like management confusion and so on would arise if our MT models were multilingual. If they supported different source languages and they were translating from any of these languages into English. Possibly doing just a copy, if the English was given as the input, so we would have multi-lingual multiple ASRs at the beginning. All going into English, and then from the English will go into all of the languages. And later when [PERSON12] would have multi-lingual model of ASR, that language ID would not even be needed.",write down,positive
"(PERSON17) Anyone else can work on the non-native accent thing. Ok, then another thing that I spotted is - this is in the Monday test document. It is highlighted four times. So, when some session is happening, we need the names and terminology for that session. And we need to collect it, prepare it manually, create it somewhat. And this manual creation should be supported with automatic tools as much as possible. So, there is a certain skill b in that, which needs to be practiced. So, I'm quite skilled at shuffling text files. And whenever I see any of any of you doing that, then I like always have tips in my head of what could be done faster. Maybe it is not faster for your end, but at least you should consider it. So there this skill is something that that we need people to have. And we need someone to be responsible for that. And I'm afraid that the only person for this could be [PERSON8]. If you find anyone else who would be ready to help with the immediate domain adaptation, the data crunching, please say so. And then we need - So, once we have secured the dictionary of terms and whatever the word pronunciations, we need techniques to put these dictionaries to use in the systems. So, my impression from the domain adaptation that [PERSON9] has been carefully doing for all the sessions was that it was not really visible in the hybrid ASR. So, one such session is again going to happen this Monday. [PERSON9] is already starting the data collection, but I would like to see the benefit of that domain adaptation in in in the [PROJECT5] set up. So, maybe [PERSON9] and [PERSON8], because he's learning how to do domain adaptation and [PERSON14], because he is doing how to work with [PROJECT5]. If you three could meet and double check what is [PROJECT5] doing with the - It's not [PROJECT5], actually, the domain adaptation is for the [PERSON18] toolkit, right.",set up,positive
"(PERSON17) Yeah, so for the multi-accent English. So, we are now [PERSON14] putting that together to just one technical solution. The current idea that [PERSON14] is working on is that he will create new sentences with words that were spoken in other sentences, and he will do this across different speakers. So, it will be really multi-speaker sentences, and therefore the robustness to the different accents of these speakers could be also improved. Ah, so that's one particle experiment. And later on, we may do something more about the multi-accent thing. So, these new sentences will actually try to solve two problems with one experiment. One problem is the implicit language model. So, the ASR system has to see the largest possible set of sentences. And we are going to create new sentences from the text-only language model by adding the sound part to that, so that the language model will be better for the ASR, and the robustness to different speakers would be also better. And in a talk yesterday, I heard another idea. It was during the training. They were dropping out time bands and frequency bands from the sound. So, they were training on disrupted inputs, and that also greatly improved the robustness of the system.",dropping out,positive
"(PERSON2) Yeah, when it has short context and because I make decisions based on very short context for this very low latency, then it really commits to something that in, for example, a second or two, it figures out oh, well, actually this was bad translation.",figures out,positive
"(PERSON2) Yeah, when it has short context and because I make decisions based on very short context for this very low latency, then it really commits to something that in, for example, a second or two, it figures out oh, well, actually this was bad translation. So, it tries to use a different wording. To, for example, specify the thing. So actually, I really liked it. I like some of the translations. I was really amazed, even though you could see that the model made mistakes on its first try, it really wanted to make some kind of correction. And it definitely sounded really fluent, which I think is also important. If you really demand low latency, then then I think that even a slightly lower quality is fine, if the fluency is good. Because if you have bad translation quality and bad fluency, then I think that the translation is just pointless. But if the lower quality is because the translation, if you read everything that you will get the same information, but the wording is just poor, because it used, for example, more words and it used some corrections and stuff. So, I think that this is completely fine for simultaneous, as long as you don't lose any information. And for which language pairs do you have these results, like some examples? Because I would like to look at it, just out of curiosity.",figures out,positive
"(PERSON2) Yes, that's the only stuff I did for positive constraints. With the negative constraints I did something a little bit more complicated in the decoding. Like filtering out the beams and replacing the beams with different beams. And for like multi-token constraints and this kind of stuff. But for the positive constraints, I only compared the training approach with yeah just this very simple stuff. Just modifying the scores in each step in the same way.",filtering out,positive
"(PERSON2) You can I think you can just you can just reserve the whole semester just for [PERSON9]'s courses and you will have a lot of work and no free time, even though you have just one subject. But I think it's a different thing, because I think it's not really a thing to fail his courses. Like to fail because you are unable to finish it. Of course, like people are just giving up, but I mean it's maybe for different reason that just it's impossible to pass. I think that it's definitely possible, but it's a lot of work.",giving up,positive
"(PERSON8) That takes a bit of time, because I need to figure out which one is the one which is getting passes. So, once I know that, I can keep a track of it, so, for the future – Or actually, for future I would not need it, because once I have the web file, I probably won't need to do a convert.",figure out,positive
"(Reporter: Lu Bo) On May 12, Deputy Mayor Chen Lvping arrived at Yongchuan to inspect the status of the implementation of rectifications from the feedback and opinions of the Central Environmental Inspection Group as well as the comprehensive treatment of river basins by the region, as well as to hold a forum. It was understood that Yongchuan had set up a task force for the purpose of conscientiously carrying out the rectification task resulting from the feedback and opinions of the Central Environmental Inspection Group. The rectification task was broken down into 21 regional-level leading departments, and 23 leading towns and streets. The relevant rectification has fully commenced.",set up,positive
"(Tsogookhuu) has grown up different to me, but it terms of skills and ability, he's tough and has what it takes, but it won't be enough.",grown up,positive
(name of the annex or write down “no annexes”),write down,positive
- Sign out and signing back in to your eReader.,Sign out,positive
"- We send out notifications when airfare goes on sale. - We provide links to where you can book the fare. - We don't sell tickets, or charge a subscription. - More details are in the full blog post. - We maintain a list of example booking dates for each deal we post and we update that list several times a day.",send out,positive
"-- On March 6, 2015, Xi Jinping pointed out the following during review of the Jiangxi Delegation at the 3rd session of the 12th National People's Congress",pointed out,positive
"-- On October 18, 2017, Xi Jinping pointed out the following during the 19th CPC National Congress",pointed out,positive
"0430 Itania time. Cohren hated waking up this early. Mainly because it was his responsibility to wake everyone else up in his company. Silently stepping out of his bunk, he put on his combat fatigues, throwing on his assault vest, and packed up his belongings from his locker, being careful with a particular small box. He shoulded his rifle and put his helmet on a small hook connected to his belt. It had all its fixing, respirator, goggles, everything needed. After checking his ammo pouches, he quietly walked out of the barracks, mud and ice squelching under his boots.",waking up,positive
"1 of the fans sounded out of balance out of the box. The speed controls are really wonky -- If you dial them to 100% the fans will shut off, so you need to turn it to 100% then dial it back slowly until the come back on. Build quality is mediocre, but this seems to be par for most of these types of product at this price point. The feet for holding the laptop up when it's inclined have snapped off a few times... They go back in, but it happens enough to be annoying. On a positive note, this has ideal fan placement for laptops that intake air from vents located near the top of the laptop. Many other coolers have fans toward the middle and provide very little additional airflow to a laptop with such a cooling configuration.",shut off,positive
"1.Build a strong community: As someone who works with patients who have terminal illnesses, Eufrosina Young thanks her strong support system for her ability to maintain her energy. Young is a board-certified neurologist and ALS specialist at the Upstate University Hospital's department of neurology, and says they ""mobilize like an army of people"" there. There isn't a cure for amyotrophic lateral sclerosis (ALS), but knowing that she isn't the only one putting in the hard work to develop treatments and provide better options for her patients, keeps Young going even on her hardest days. ""We're not carrying the weight of the world, but being part of a world of people that are advocating for this work,"" she says.",putting in,positive
10. Defects of the Work / The Work has a defect if it does not have the attributes laid down herein or in the Change Documentation.,laid down,positive
"10.3 If the Contractor demonstrates the result of the Contractor’s activities hereunder to the Client and evidences the results of unit and integration tests carried out with respect to such a result, the Contractor shall hand over the result of its activities to the Client in order to perform the Acceptance Procedure.",carried out,positive
