src,VID_Candidate,Prediction
"""While we already have among the strictest regimes on those products, if the evidence shows that further action is needed... we will not hesitate to take it.""",take it,positive
"""Will airlines also have maps for obnoxious passengers that drink too much, remove their shoes, hog the armrest or recline in my lap?"" added another.",hog in [pron] lap,positive
"""With the flagrantly lawless crypto industry crashing and burning due to a mountain of arrests, criminal convictions, bankruptcies, lawsuits, scandals, massive losses, and millions of investor and customer victims, who would have thought that the SEC would come to its rescue by approving a trusted and familiar investment vehicle that will enable the mass marketing of a known worthless, volatile, and fraud-filled financial product to Main Street Americans,"" Kelleher said.",come to [pron] rescue,positive
"""You are always publishing reports on coronavirus or coming up with arguments on Brexit.",come up,positive
"""You are always publishing reports on coronavirus or coming up with arguments on Brexit.""",come up,positive
"""You can certainly say that this is not the deal you created, but you will have to stick to it,"" Trump told Turnbull.",stick to [pron],positive
"'At the end of it one girl came up to me and said: 'Why am I only being told this now, in my senior year?'",come up,positive
"'We both have sons, and we were bearing in mind that we are not just role models for girls but boys - and not just our sons, but generally in public too.'",bear in mind,positive
"(PERSON11) That is important. Please write this down here into the documenter this <unintelligible/> summary, because that is for [PERSON2]. And also [PERSON2], when you talk to [PERSON10], well and also possibly [PERSON5]. If we have this tool, we need to (ship) the audio to multiple ASR or multiple workers <unintelligible/> We will separately need to (ship) the audio to the English ASR, separately to the German ASR and the Czech ASR, for example depending on the <other_noise/> And also, to this language ID worker and then we need to merge these outputs, and this is tool which we do not have yet. That's the multi-source tool, which will be observing the text outputs and also following the time stamps and it would emit the - it would probably like produce the output into three separate language channels for using either silence or the correct ASR. So, we need a filter for the ASRs, so that the ASR is silent if it's the wrong language and it is the recognized text if it's the correct language. I just made it up this type of setup. Another of setup would be that same sound is shipped to ASR and this language checker. This language checker is essentially a part of the ASR, silencing the ASR if it's the wrong language. That's also an option. So, we need to figure out which way of integrating the language ID is the best for our purposes. So, please keep thinking about this like what are our pipelines. Ideally, I think that the least like management confusion and so on would arise if our MT models were multilingual. If they supported different source languages and they were translating from any of these languages into English. Possibly doing just a copy, if the English was given as the input, so we would have multi-lingual multiple ASRs at the beginning. All going into English, and then from the English will go into all of the languages. And later when [PERSON12] would have multi-lingual model of ASR, that language ID would not even be needed.",make it,positive
"(PERSON17) Okay, that's good, yeah. So, I started, but I think I never finished an email to you, because you reminded me, [PERSON8], that your profanity filtering is not yet integrated. And I think this is also an important message for [PERSON5], who has disappeared again from the call. So, the important message is that yes, it's very good that you are actively pushing so that your results are integrated, and everybody should do so. And at the same time, we need to have the setup, so that you can actually integrate and test it yourself. So, I call it ""do-it-yourself integration"". So, [PERSON8], when working with [PERSON5] and when documenting what the setups are, make sure it is tested well enough by colleagues, such as [PERSON4] or even [PERSON9] for the language model checks and everybody else. So, whenever someone develops a new useful component, the full pipeline should be accessible to him reasonably easily, so he can test it himself. So, this do-it-yourself integration is important, because otherwise it will all remain on you, [PERSON8], and you don't want to be overloaded. So, you want to provide these people with inputs and outputs as the first testing approach, which has already been done. [PERSON4], right? The profanity filtering, has it been tested on logs? I think it was.",call it,positive
"(PERSON3) Oh yeah, okay, I get it, I get it. So basically, the lemma coverage says whether the constraint is there, and the surface coverage difference suggests that it might be incorrectly inflected, but that is not the case.",get it,positive
"(PERSON7) Okay, so thanks. So, you are very busy with this, I don't want to put any other things on you, so let me start with the reminders. We need to finish the description of [PROJECT1] desk set, Who do we have here? Oh well, not really, yeah, (it's done) and it's not here unfortunately. So, this would be for [PERSON2], Then the evaluation, this is for [PERSON1], but we have discussed this. Listen, give me the table in DSD let's put the fine line here and push the template of the table, like the plan structure into the delebl now, so that the numbers will come later, but I want to see some numbers and the full structure of the table very soon.",put on [pron],positive
"1. Capitalised terms / All capitalised words and terms whose meaning is not determined by this Contract (hereinafter the “Contract”) shall have the meaning ascribed to them in the Agreement on the Provision of Information System Development and Operation Support Services - Service Level Agreement, covering the maintenance and development of the Application (hereinafter the “SLA”).",ascribe to [pron],positive
"15.3 The Contractor shall give the source code to the Client in an editable electronic form, in a format of the relevant development environment and in a version corresponding to the current version of the Application. The Contractor shall give the source code to the Client not later than on the date on which the Parties execute the Record of Takeover of Upgrade Delivery for Use. Together with the source code, the Contractor shall give any materials related to the source code to the Client.",execute on [pron],positive
"27.7 This Agreement was drawn up in two counterparts valid as an original, in the Czech language, of which each Party receives one counterpart. This Agreement shall come into force and effect on the date on which the last Party executes this deed.",execute on [pron],positive
"3 1/2 Stars Remedy is a brothers best friend romance as well as a second chance romance mixed into one. It's a unique story, and the hero (Grady) has to do everything to get Collins back and prove he's the guy for her. Three years ago, Grady and Collins had an amazing night together. Collins thought she was finally getting everything she dreamed of, her brothers best friend... but when she woke up alone the next morning, and never heard from her, things definitely changed. Now Grady is back, and he's not leaving, and he's doing everything in his power to prove to her why he left, and that he's not giving her up this time around. While I loved the premise of this story, and at times Grady, he really got on my nerves. I totally understand his reasoning for leaving that night, but to not even send a letter to Collins explaining himself? To leave her wondering and hurt for all those years, and then expect her to welcome him back with open arms? Was he delusional?! Collins was right to be upset, angry, hurt, etc. She was right to put up a fight with him when he wanted her back and to move forward. I admire her will power, because Grady was persistent. I loved Collins in this book, she was strong, and she guarded her heart, and I admired her for that. Sure she loved Grady, but she was scared, and hesitant to let him back in her life, who wouldn't be after what he did to her? Her character was definitely my favorite out of the two. She definitely let things go at the pace she wanted, and when she was ready to listen, she listened. There is a lot of angst in this book, and I did enjoy watching these two reconnect when Collins started to forgive Grady, I just wish Grady would have not come off as so whiney and would have been a little more understanding. He kept saying he understood, but at times he was a little too pushy to me, and then he was sweet towards the end. I ended up loving him just as much as Collins, but in the beginning of the book, I had a hard time reading his points of view because I couldn't connect with his character. The first part of this book, was not my favorite, but he second part? I adored, hence my rating. If you like second chance, and brothers best friend romances, you may really enjoy this book, I just had a hard time with Grady at first and how he handled some of the things he did.",get on [pron] nerve,positive
"4.Have other joys: Across the board, each of the experts said they engage in some hobby like exercise, dancing and even playing the guitar. It's extremely important to have a life you enjoy that exceeds what you accomplish in your job, says Christina Maslach, social psychologist, retired professor of psychology at U.C. Berkeley and author of ""The Burnout Challenge: Managing People's Relationships with Their Jobs."" ""Look at your life as a whole, and make sure there's good things about it, and make sure you have time for them.""",accomplish in [pron] job,positive
"8.1 The Parties’ communication when performing this Agreement is governed by project principles. Project principles are laid down in Annex 6 (Project Management Methodology). The Project Management Methodology provides for the binding rules governing the management, coordination and control activities when providing the Services. The Parties shall discuss, amend, modify and approve the Project Management Methodology in the Project Charter. The Parties shall approve the Project Charter not later than two (2) weeks after the date on which the last Party executes this deed.",execute on [pron],positive
"@user21 I only row on weekdays, so I average out to a little over 5K/weekday so far. I break it up in different ways. On an ERG.",break up,positive
A black congregation that had been worshiping nearby took title to the building.,take to the building,positive
A decision has been made to “dig up” the area where holes have twice appeared on the recently paved roadway (at the intersection with Molodyozhnaya Street).,dig up,positive
A few very small difficulties have come to light.,come to light,positive
"A friend accompanying Haj on the swim who managed to make it safely to the Spanish enclave said the journey was ""extremely difficult.""",make it,positive
"A friend came up with the idea more than two years ago, and I did not pay much attention to it back then.",come up,positive
"A knee to the groin follows, and while the attacker doubles up in pain, you twist the gun from his hands, smack him in the face with the barrel and back up, keeping the weapon trained on him.",train on [pron],positive
"A list of parts of the Application for which Services are provided and identification of their value in CZL excl. VAT, which is included in the basis for calculation of the annual flat fee for Services",provide for [pron],positive
"A lot of foreign students come to us: Africans, Arabs.",come to [pron],positive
"A notification came to the TV program, Müge Anlı İle Tatlı Sert, broadcast on ATV screens on April 13 about the fact that Ali Kemal S. was digging up the ground in the workplace of his brother Hüseyin S. in Gölcük.",dig up,positive
"A pink blanket goes with everything: Jane Austen classics, a queer young-adult romcom, fantasy novel Six of Crows. Jordan Hickey's version is crocheted, made by her grandmother, and appears in most photos on her Instagram account pagetravels, where it's paired with various books to evoke a sense of tantalizing coziness. Wouldn't you like to be here right now, her photos imply, cuddled up with this blanket and this mug of coffee, with nothing else on your to-do list aside from reading the new novel Frankly In Love, out today?",go with [pron],positive
"A roast of former press secretary Sarah Huckabee Sanders by comedian Michelle Wolf at the White House Correspondents"" dinner in April 2018 was so vicious that even MSNBC host Mika Brzezinski called it ""deplorable.""",call it,positive
"A statement released on behalf of his family said: ""We cannot believe that Yahya has disappeared from our eyes.",disappear from [pron] eye,positive
A variety of business activities came to him. He really have a golden flashing prospect.,come to [pron],positive
"According to him, it can't be ruled out that, following the Turkish leader's statements (about the non-payment of compensation to the EU, demands for a visa-free space with Europe, and the extradition of Gülen from the United States), he will come under pressure.",come under pressure,positive
"Across the room, Tyrone Brooks holds court at his table, eating and reminiscing about civil rights.",hold court,positive
"After many objections beforehand already, the suggestion to hold the final at a neutral location did not even make it to the vote.",make it,positive
"Afterwards, Black Sea Fleet minesweeping vessels went out to sea to search for mines.",go to sea,positive
All our efforts will help them make it through this journey.,make it,positive
All those waiting go to sea in Greece.,go to sea,positive
All we do is to try and race at a pace nobody else can keep up with.,keep up,positive
"Although all three made it through to the global final, they lost out in the final round to strong competition from some of the 3,500 entrants from across the world.",make it,positive
"Although steel plants, as of now, have yet to receive clear notification from local governments announcing that work related to energy conservation and emission reduction has ended, the industry expects that by around December 15, 2010, steel plants nationwide that have been subjected to production quotas will resume production successively. Steel prices could start to come under pressure.",come under pressure,positive
"Amit Yoran, CEO of the cybersecurity firm Tenable, called it ""the single biggest, most critical vulnerability of the last decade"" - and possibly the biggest in the history of modern computing.",call it,positive
An option would be simply to load in onto a truck and take it away.,take it,positive
And he thinks that a burka ban would come up against constitutional issues.,come up,positive
"And in general, Kimmich looked in this starting formation like one who is best able to take to the helm.",take to the helm,positive
"And said that ""we've said, you need a plan. We want them to vet it with us.""",vet with [pron],positive
And she also attracts attention wherever she turns up.,turn up,positive
"And then she takes it off and we see her, looking vulnerable and innocent - what is she doing in this place.",take it,positive
"Another girl outside of the video frame laughed as she recorded the scene. Two adults came in to break up the attack, with one adult pulling the teens apart. Adriana lay hurt and bruised on the hallway floor as the adult tried to help her up.",break up,positive
"As a result, ""Whose Streets?"" documents surprisingly personal aspects of Ferrell's life, like falling in love and marrying her wife.",fall in love,positive
"As sexual harassment scandals in Hollywood came to light last October, women have set off a wave of anti-sexual harassment and anti-sexual harassment in the workplace.",come to light,positive
"As she went on to explain, there's method in a strategy that most people inside the Beltway would deem madness: This is the best way to earn the press's trust. They'll know we're not spinning like everyone else. SIGTARP will quickly become the only credible source for information in Washington about TARP. We might be embarrassed at times and disclose things that we could - and others would - easily hide, but we'll shock the press with our honesty. No one else does this, and before long, we'll have a built in defense when we're attacked. No matter what they hear, the press will come to us first and believe us, because we'll prove to them that we tell the truth. This is perhaps the biggest reason for Biden to pursue the course of radical responsibility-taking: Moments inevitably arise in any presidency when having the trust of the public and the institutions that safeguard the civic interest is critical. Moreover, there is vital capital to be earned by owning our mistakes, and there's an important distinction that Biden can draw with his political opponents. The president would do well to follow the old adage: Tell the truth - and shame the devil.",come to [pron],positive
"As such, the congress supported the IAAF Council (which released a report on Monday that recommended keeping the suspension in place) concerning the reinstatement of the ARAF.",keep in place,positive
"As the evening at Jenny and David’s comes to a close, David tells Robert privately that Jenny really doesn't enjoy the pot, but she does it to please him.",come to a close,positive
"As the largest political party in the world, the Chinese Communist Party has continuously kept up with the pace of progress and led China to gain world-class development achievements.",keep up,positive
"As the saying goes, let them see what we're made of!",make [pron] of,positive
"At its peak, the show hits like a blow to the solar plexus, taking your breath away - the impact is only slightly dulled by watching online.",take breath,positive
"Back when it all started, and I was taking it very badly, I once said to her that I no longer wanted to live and asked how she would feel if I ended it.",take it,positive
"Basically, they’ve insinuated that they were the driving force that got me here, under the guise of being supportive, when in reality they didn’t even know I was making these changes until I had already gone through with the RNY and lost well over 100lbs.",go with the rny,positive
"Because for Interspeech, we could also like split it paper by paper. So that some papers would go to the Interspeech proceedings. And some of our submission papers would come later for the PBML proceedings. And the authors would be free to choose. So that we have to negotiate this with either SIGDial or Interspeech. If it is okay for them to have some of our papers, given that these papers are submitted by the March deadline. So, there is an absolute strict requirement. And I think it's they cannot have anything against it. Because if the paper is worth publishing. Like, it's only a bonus that the paper has some shared task result appearing in the satellite event. So yeah, I think it's okay. So, we do not need to ask for a special session. In Interspeech it is called special session, we don't want that. In Interspeech we want the satellite event. But we will tell our people. If you manage to have your paper ready by the Interspeech deadline, send it as an Interspeech paper and you will have it within Interspeech. Ah, if you do not, ah, do it for the Interspeech deadline, here is our deadline. And that is for PBML.",have it,positive
"Beginning in 2007, a new qualifying process took effect, in which the winners of certain races earned automatic entry to the event in their respective divisions.",earn in [pron],positive
"Below, Nyssi scrambled to her feet. She was pretty sure she had broken something, but her weird, unnatural healing powers had already kicked in. The same couldn't have been said for Thassalin, who was lying in a lump, resting against the one tree that hadn't collapsed under his weight. Nyssi did her best to try and reach Thassalin but she could barely see more than a couple of meters in front of her. Everything was pitch black and engulfed in unholy shadows. And in said shadows, something was screaming and screeching.",scramble to [pron] foot,positive
"Born in 1991, promoted to team captain he played 254 official matches for Beşiktaş in total.",bear in 1991,positive
"Both deny taking it, but neither was allowed to compete in the weight category of up to 94 kg.",take it,positive
Both the old and the new Listing titles call it a 12V 10W panel.,call it,positive
Bring in your financial advisor: Your advisor can also help you come up with a way to pay for those expenses.,come up,positive
"Businesses complain the levy is too inflexible. For example, said Reeves, Openreach ""wants to retrain people who work on copper to work on fibre, but the apprenticeship levy doesn't have that flexibility around retraining."" Reeves said Labour would change the levy so companies could use the money to retrain employees in industries such as the automotive sector and those currently fitting gas boilers. ""We need them as part of the energy transition to net zero to be learning the skills to work on electric vehicles or fitting heat pumps or hydrogen boilers. We want those people to be retrained to get the skills that they need to succeed. And yet the apprenticeship levy is stacked up against them. Businesses want greater flexibility and young people starting off in life or older people who want to retrain to make sure that their skills are relevant for the future,"" said Reeves.",stack against [pron],positive
"But I feel somehow I started this instance on the wrong foot, so to speak.",start on the wrong foot,positive
"But I was told his pants started falling down, and he was struggling to pull them up while running and pushing a cart with a heavy socket set.",pull up,positive
"But as a franchise, it feels like it's running out of time.",run out of time,positive
"But despite his colleagues fleeing for their lives, 21-year-old Anthonius Gunawan Agung refused to leave his post in the wildly swaying control tower at Mutiara Sis Al Jufri Airport Palu airport.",flee for [pron] life,positive
But he approved a broader effort to beef up security in Saudi Arabia and the region.,beef up,positive
"But he did attack its meaning, and in particular the meaning ascribed to it when Emma Lazarus's famous poem was added to its base in 1903, 17 years after the monument itself was completed.",ascribe to [pron],positive
"But how do you balance out the loss of an additional 1300 low-cost homes (approximately), the grants for which will run out over the next few years?",run for [pron],positive
"But no, I stand by it. Most natural speech is broken up, especially when people get emotional.",break up,positive
"But the Cromwell Society described Mr Crick's suggestion as ""folly"" and ""attempting to rewrite history.""",rewrite history,positive
But their scrum was offering a foothold in the game and it took feverish defence to keep their maul at bay until they produced the first of two turnovers in quick succession.,keep at bay,positive
By doubling down on the core gag - middle-age actors playing horny kids coming of age - it made the impossibility of recapturing the past part of the joke.,come of age,positive
Character Jo Karev (Camilla Luddington) also got some major support from husband Alex (Justin Chambers) after she checked into a psychiatric facility for 30 days to deal with her issues.,deal with [pron] issue,positive
"Chen Xinlei, Yang Kaihan: When Amazon made it to the world’s top 10 list of retailers, it announced that it would venture into the bookstores and grocery stores; this is worth pondering, both in terms of opportunity and motive.",make it,positive
Civilians running for their lives from the siege of Raqqa by anti-DAESH forces aren’t allowed by the YPG terrorist group to enter cities they control.,run for [pron] life,positive
"Climo stretched the Ayr lead with a penalty, before, right on half-time, he scored then converted a solo try to make it 17-5 to Ayr at the break.",make it,positive
"Clinton wants to lead the economy to its death and regulate it to its death, he says.",regulate to [pron] death,positive
"Conserving water is key, so if it's possible to give a toilet two roles -- dumping waste and say, housing fish -- that could be instrumental in getting the process off the ground.",get off the ground,positive
"Critics of this proposition may be quick to point out how this argument could hold water, given that Riek later went on to accept to be absorbed back into the fold under Chief Garang in 2002.",hold water,positive
Dagmar Štěpánová from the FormaFatal studio made it for us.,make it,positive
"Dan Norton grabbed a try for GB, touching down in the left corner to make it 36-7 but the game was long gone the way of the South Sea Islanders whose fans sang, waved flags and danced in the stands.",make it,positive
Definition of parts of the Application for which Services are provided,provide for [pron],positive
"Despite messing up his first shot, star basketball player Stephen Curry made it through the first round between professional golfers.",make it,positive
Did the subject of corporal punishment ever come up?,come up,positive
"Did you encounter any complications during the realisation phase, which forced you to abandon some of the original ideas or come up with new ones?",come up,positive
Did your plans come to fruition?,come to fruition,positive
"Dimon, the mentor turned rival, seemed pleased that his former protege had made it to the big leagues.",make it,positive
"During his tenure, Sloan had replaced managers, revamped sales practices and launched an apologetic ad campaign, but he was blamed for moving too slowly as other abuses came to light.",come to light,positive
"Děti Země, an organisation from Brno fighting for sustainable transport, has put a halt on the works.",put on the work,positive
EXCITED FOR TOKYO What come to mind when I say Tokyo 2020?,come to mind,positive
"Earlier, it came to light that Putin had removed Sergei Ivanov from the post of chief of staff of the Presidential Executive Office, with Anton Vaino appointed as his successor.",come to light,positive
"Earlier, representatives for the republic’s EMERCON announced that the government of Abkhazia has taken it upon itself to cover all expenses associated with delivering the bodies back to Russia.",take it,positive
"Efforts should be made to fight innovative war and make preparation for war, keep up with evolution in war situation and method of war fighting,",keep up,positive
"Eight years after TPG Capital and Warburg Pincus LLC took it private, Neiman Marcus has filed plans for a $100 million IPO.",take it,positive
"Elisabeth Ferrell, Scottish officer for the Bat Conservation Trust, has encouraged the public to pitch in to help.",pitch in,positive
"Elsewhere on the night, Australia's Robert Whittaker edged out England's Darren Till in the middleweight main event, while Russian-born fighter Khamzat Chimaev made history by winning a second bout in 10 days on Fight Island, the shortest-ever period between victories in the modern-era UFC.",make history,positive
"Especially when we heard such talk as, ""let's shoot one of them"", we thought like this: We know nothing about our hometown but the instruction to 'Cut TRT' came to us.",come to [pron],positive
"Even if I'm not in the income level that would pay more taxes, I can still buy fewer things that are more expensive so that they can be made by people making a living wage and I can be willing to wait a few days to get it so that some gig worker doesn't have to be worked to the bone...",get it,positive
"Even if she was paid, she didn't have to go along with it.",go with [pron],positive
"Faced with operations coming to a standstill, it is hard for managers to say no to the perpetrators' demands.",come to a standstill,positive
Fernando flipped pass the goal in the back-drawing on his right wing. Alan Kardec was put down by Lei Tenglong. The referee sentenced a spot kick and showed a yellow card to Lei Tenglong.,put down,positive
"Floor boards had been pulled up in the property, from which drugs had been dealt in the past",pull up,positive
"For a man, I feel more sorry for him than her, somehow. There's nothing can be done about it. The Dors had another sinking spell. The hospital doesn't think she'll last the day. It must be unbearable. I've never lost anyone. You get over it. Oh, I'm sorry, Mrs. Leslie. Oh, that's all right, Ms. Roe. You get over it. Eventually.",get over [pron],positive
For all the criticism of our Government not a single nation has got it exactly right.,get it,positive
"For example, if a minor is sold cigarettes at a kiosk, then everyone down the line will be punished: the storeowner will pay a huge fine, the actual offender will receive a caning to their “backside”, and the salesperson will also be given a thrashing and put in jail.",cane to [pron] backside,positive
"For instance, in the Nottingham game, all six players played a significant part in not only retaining possession but also getting it back when there was a turnover.",get it,positive
"For the truth is that on that day, the Queen and her advisers seem to have made an error of judgment, of the kind they have almost entirely avoided, in her 67-year reign to date; and arguably a much more serious one than the intervention in the Scottish independence referendum suggested by David Cameron in his memoir, which, after all, amounted to no more than the Queen suggesting people ""think carefully"" before casting their votes, a phrase which only a dyed-in-the-wool Unionist would interpret as meaning that they should necessarily vote for the status quo.",dye in the wool,positive
"Foreign manufacturers would apparently follow suit, said Smetanin.",follow suit,positive
"Fortunately I don't feel my age, my legs are still fine and touch wood I don't pick up many injuries, so it's about keeping on top of that and come back as strong as I can next year.""",touch wood,positive
"Furthermore, Loza believes that Manson needs to get “punched in the face” for his words.",punch for [pron] word,positive
"Harris' written request to Inspector General Steve Linick comes as President Donald Trump is under intense legal scrutiny for pressuring the president of Ukraine to dig up dirt on former Vice President Joe Biden, a political rival he may face in the 2020 presidential election.",dig up,positive
"He added: ""It's backfired on him now, though, that's the sad thing.""",backfire on [pron],positive
He came to me in the studio and recorded his parts.,come to [pron],positive
He dropped to one knee and proposed to her all over again.,propose to [pron],positive
"He said, ""We will go to Washington with our Minister of Justice and both deliver the files and hold a meeting.""",go to washington,positive
"He says that years later, he still lives in fear.",live in fear,positive
He was going to the mall.,go to the mall,positive
He was the brother that went with the flow.,go with the flow,positive
"He went there with me, and I told him that I received an anonymous letter accusing him of having an affair with my wife, and that I was inclined to believe it.",go with [pron],positive
He will go to the mall.,go to the mall,positive
He would have gone to the mall.,go to the mall,positive
He's clearly trying to get back in their good graces by hyping up an issue that isn't an immediate priority to make it seem like he's done a terrific job and is a terrific person!,get in [pron] good grace,positive
"Hello world PDR coming at you here with a 2018 brand new Yukon Denali. It's got a little dent right here in the back quarter. I've got it not super warm. I've got it 95, that's maybe a little too warm. I'm going to turn this down. We're just going to do a quick little glue. I've got the glue all hot and ready. Can you guys see where that dent is, I'm just going to drop it right in there and then maybe even remove the heat.",get it,positive
"Hello. How about that Albany calls? Busy? We'll call the chief operator, tell her to keep the line open. Official business. It's a matter of life and death. I hope you are telling me the truth, Mrs. Kennedy. It won't go well with you if you're not. I tell you what I told you the truth. Dirk and Grab, told my drift. He struggled.",go with [pron],positive
"Her children told her the man was laying on the seats asleep when they got on, then during the trip he got up and started urinating on the ground.",get on,positive
"Her sense of coming to life on stage -- I never get tired of watching, Foote said in 2002.",come to life,positive
"How did the AfD make it to Gerolstein, actually?",make it,positive
How did you deal with it?,deal with [pron],positive
"However I recommend you resetting it from your computer, even if you are logged in on your computer, this is for you to remember your password, as this information is important to know by memory",log on [pron] computer,positive
"However, his earnings could increase significantly if he makes it to the quarter-finals as he will pocket £60,000.",make it,positive
"However, the star's family reality show Keeping Up With The Kardashians later showed that the event ended with Khloe in tears as she struggled to come to terms with his infidelity.",keep up,positive
"However, this is not stopping the President of Turkey, who is stubbornly sticking to his guns and is also making demands on his other Western partners.",stick to [pron] gun,positive
I agree with you.,agree with [pron],positive
"I always loved it when episodes would showcase the twin shuttlebays at the back of the mid-section, neck, or whatever you want to call it.",call it,positive
"I bought this as a tracker to use while I swim, and I didn't even get a proper chance to try it. First off, it's not water resistant and it is not recommended to use while swimming per the instruction manual. Second, it doesn't come with a charger. Instead, it suggests to use a USB plug or computer. Fine, we have lots of those around. When I try to get it into the port to charge it, however, it launches right back out. I'm not sure if there's something not compatible or if this is just poorly made, but I'm not going to sit and hold my device in while it charges. Lastly, the app keeps popping up ads, even when it's closed. Ads popped up while I was sending a text, which is very concerning. I then closed down all active apps on my phone, and saw yet another ad when I went to check the time 20 minutes later. Horrible product, I guess I get what I paid for...",get it,positive
"I bought this modem/router about two years ago. At the start it seemed to be ok but for the last year plus I’ve had problems with it dropping the internet. This happens on all my devices both Wi-Fi and wired. The only way to restore service was to do a AC power reset. This was happening once or twice a day. Comcast came out, ran a new coax line from the pedestal to the house and boosted the signal level. Same problem. The Arris Tech guys were great but could not solve the problem. Additionally, I lost the 5G service on three occasions. I had to do a factory reset to restore this. I cannot recommend this modem/router based upon my experiences. I purchased a Netgear AC1900 modem/router. It’s fantastic. I’v Had it for over a week with no problems. It’s faster and the range is greater than the Arris. I read online that other people have had problems with the Arris modem/router connected to Comcast. If you have Comcast internet I do not recommend this Arris modem/router. Get the Netgear, its much more reliable.",have it,positive
