src,LVC_Candidate,Prediction
"In my experience, good business is all about stepping back, asking questions, and accumulating the expertise to make the best decisions, whether those are business decisions or people decisions, he said in the NYU Stern profile.",make decision,positive
"In taking the decision to continue to commission and to renovate the Ilmnau-Rennsteig line, the state acknowledges that this is an important connection, above all for tourism, stated Transport Secretary Klaus Sühl on Friday in Erfurt.",take decision,positive
"It is an alarming trend to us, he said at a news conference. It is worrying to see these youths breaking the law and possibly having criminal records at such a young and tender age. We appeal to all youngsters to rethink their actions and hope the education sector and parents will help our young people to walk the straight and narrow path.",have record,positive
"It is creating false hope for many buyers who think they can have a chance for a property with a $1.3 million guide, when it will really sell for $1.5 million, he said.",have chance,positive
"It never occurred to me that the Mexican audience were so enthusiastic. I had some worries about whether they could understand the story, but it was beyond my expectation to see them catch the story and the laughter today.",have worry,positive
"It was probably a real crossroads, he recalled, of taking charge of Alloa.",take charge,positive
"It's been a bit of a Catch 22 the major banks have got access to the lower cost funding but they are more risk averse so they don't actually go out to lend in the same way, they can't get access to the data and they can't get comfortable unless you have property, he said Until we can access that cheaper funding I think there is a fiction out in the market on how popular the scheme is going to be.",get access,positive
"It's been a bit of a Catch 22 the major banks have got access to the lower cost funding but they are more risk averse so they don't actually go out to lend in the same way, they can't get access to the data and they can't get comfortable unless you have property, he said. Until we can access that cheaper funding I think there is a fiction out in the market on how popular the scheme is going to be.",get access,positive
"It's either that they had no diverse representation of people of color on their staff to the point where they're able to make decisions like this, Ms. Zhu, who is Chinese-American, said, or they do have some people of color who are working there, but they're not on positions where they feel safe or comfortable to speak up.",have representation,positive
"It's not a good sign for Morrisey that the president has to come to try to give him a boost in the polls, said Simon Haeder, a political scientist at West Virginia University, according to Reuters.",give boost,positive
"Jokowi is a person who has good intentions, but he is surrounded by the people who are involved in the Paniai shooting, says Gobai, the tribal council chairman.",have intention,positive
"One would hope that the only benefit out of this is - as a tombstone and testament to others, that these are the risks actually involved in going to a war zone - to dissuade people from ever making that choice really, Akunjee said.",make choice,positive
"Our approach has been a precautionary one, which is why in Scotland we have already taken the strictest regulatory approach in Europe to vapour products, she said.",take approach,positive
"Pakistan had the audacity of trying to occupy Indian soil and deviate attention from its own internal unrest, he said.",have audacity,positive
People of different identities have the same rights and efficiency to speech. Various social concerns during real life may be eliminated immediately on internet.,have right,positive
"Personally, I have no desire to be perfect and successful all the time.",have desire,positive
"Police have an idea of their whereabouts but our efforts to locate that are intensifying, Guglielmi said.",have idea,positive
"Sadio Mane and Divock Origi both trained yesterday and have no issues, added Klopp.",have issue,positive
"Scotland has big ambitions for transitioning to a circular economy, and the government plans to bring in a new devolved aggregates tax that should accelerate the shift away from the use of virgin products.",have ambition,positive
"She had a real fear of food waste, Mr. Coe said.",have fear,positive
"Summer Housing's delivery model is a contemporary one that brings accessible and affordable housing and support together with smart home technology to give individuals greater choice and control over how they live, he said.",give choice,positive
"Take notice that unless you obey the order of the Federal High Court, Abuja Division delivered on September 24 which ordered you to release the applicant, you will be guilty of contempt of court and will be liable to be committed to prison, the document read.",take notice,positive
"That was two own goals too many, and in Aue, we have to take better care still, says the defender from Fortuna Düsseldorf.",take care,positive
"The Department of Homeland Security has retained outside counsel to help ensure the Department's vital mission is not interrupted by the unprecedented, unjustified, and partisan impeachment efforts by some Members of Congress, who have already taken steps to initiate proceedings, a DHS spokesperson said in a statement Friday.",take step,positive
"The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein, the group's statement reads.",pay attention,positive
"The President's comments today constitute reprehensible witness intimidation and an attempt to obstruct Congress' impeachment inquiry. We condemn the President's attacks, and we invite our Republican counterparts to do the same because Congress must do all it can to protect this whistleblower, and all whistleblowers, they said. Threats of violence from the leader of our country have a chilling effect on the entire whistleblower process, with grave consequences for our democracy and national security.",have effect,positive
"The United States has that ability, with our Navy, to make sure the sea lanes are open, and, if necessary, to blockade, to make sure that their energy does not go to market, he said.",have ability,positive
"The claimant is convinced that the contracting authority made the decision on the selection of a public procurement contractor on the basis of a purely subjective assessment, clearly favouring the participant Mladá fronta at the expense of the claimant and other suppliers, reads the motion for the opening of proceedings submitted to the ÚOHS this week, which was published by the server Aktuálně.",make decision,positive
"The president does more Q sessions than any president has prior to him, she said, adding without citing evidence: We've looked at those numbers.",do session,positive
"The vessel has left the port of Bandar Abbas and is transiting to Dubai for the crew to disembark and receive medical checks and debriefing, Hanell said. The families of crew members have been informed and the Company is currently making arrangements for the repatriation of its valued seafarers at the earliest possible opportunity.",make arrangement,positive
"There are holidaymakers in Spain at the moment confused and distressed, there are people about to go on holiday to Spain and the islands like Tenerife who are confused, and they don't know whether their employers will allow them to take two weeks' quarantine.",take quarantine,positive
"There is still a long way to go on policy but he's made a really impressive start and he's got to a situation where for a lot of people who had really given up on the Labour party, voters as it were, I think they are now looking at it again much more sympathetically and they regard him as a serious figure.",make start,positive
"They are failing to do large, randomised trials and that ends up providing bad medicine. It makes the practice of medicine poorer and the outcomes for patients poorer.",do trial,positive
"They had a six-point lead and now it's four, so we are carrying that as a little bit of momentum I guess, said Jordan Spieth as he strolled off for the day.",have lead,positive
"This consultation seeks views on improvements on how the Control of Dogs Act 2010 can operate across Scotland, and next year we will take a wider look at all dog control legislation to assess whether changes are needed.",take look,positive
"This means that a smaller animal has a more dangerous life, and has to focus on having as many offspring as quickly as possible, explains Scheuerlein, an evolutionary biologist.",have life,positive
"Those who cannot stand the historical existence of a Turkish nation and a Turkish homeland, those who have made mistakes, those with lengthy criminal records, those whose ideology is mixed up and whose mindset is confused, all of whom are rubbing their hands in some sort of expectation.",make mistake,positive
"To give an example: If I ask him what happened two years ago when I sang at Milan's La Scala, he can't remember anything, Netrebko said.",give example,positive
To give such a statement would be arrogant and presumptuous.,give statement,positive
We are here to protect the financial futures of members belonging to defined benefit pension schemes and they should take comfort knowing we are here to protect them.,take comfort,positive
"We believe Professor Latham and the victim had a relationship, Guglielmi said.",have relationship,positive
"We can't make apologies for doing so, he added.",make apology,positive
"We had the chance to qualify for the Champions League and that was even better, but we'll reflect on it and come back stronger next year.",have chance,positive
"We had the chance to qualify for the Champions League and that was even better, but we'll reflect on it and come back stronger next year.",have chance,positive
"We have 12 important matches tomorrow, but you'd like to get off to that fast start like you saw at Brookline, like you saw at Medinah.",have match,positive
"We have huge problems in Utah, Trump said to an audience of evangelical Christians whom he asked for assistance in key states such as Ohio, Florida or Virginia.",have problem,positive
"We have recently taken the bold step of compulsorily retiring a significant number of tax officials, and we will not tolerate this type of behaviour, he had said.",take step,positive
"We must be able to take swift, decisive action, particularly in relation to localised, or internationally in relation to Spain or a particular country, where we see we must take action.",take action,positive
"We must be able to take swift, decisive action, particularly in relation to localised, or internationally in relation to Spain or a particular country, where we see we must take action.",take action,positive
"We need to have a deal. We want to have the best deal that will allow as I say not just the success at present to be enjoyed but for us to grasp this opportunity, he told BBC Radio 4's Today programme.",have deal,positive
We remain committed to following the best evidence to take any steps necessary to ensure that people are protected from potential harm.,take step,positive
"We will take a very, very strong step towards 2020, he said at the end of July.",take step,positive
"We will take our own measures, but the most important is for our fellow citizens to protect their health workers.",take measure,positive
"We've had a great start to the season, but we'd still like to be better at retrieving the puck, defensively, in all three areas of the ice, he explained.",have start,positive
We've made such progress in getting the virus down and preventing the virus re-taking hold in the UK.,make progress,positive
Who's the person who gave the whistleblower the information?,give information,positive
"Why is it taking you so long? she asked, taking a chance with a sentence that might have been the last of a long-running volume.",take chance,positive
"With a decrease of new listings putting pressure on the market, buyers are getting more emotional and are paying $300,000-$400,000 above reserve as a result, he said.",put pressure,positive
"You keep reminding yourself that we had a big lead at Valderrama; we had a big lead at Brookline, where we lost, and at Valderrama, where we won, but only just, said Bjorn, pictured, after watching the Class of 2018 win 5-3 both on Friday and yesterday to lead 10-6 at Le Golf National.",have lead,positive
"You would have thought I'd had a nervous breakdown, recalled Ms. Schroeder about how the press reacted to her.",have breakdown,positive
"instead of just shoveling trillions out the door, a recovery bill would suspend the payroll tax, which would give it a pay raise to everyone in America who's working. That actually gets people back to work, he said.",give raise,positive
"#CNN needs to just close down. Yesterday's fiasco with #MangoMoron was an outrageous fiasco. Who at that pathetic, dying network was responsible for vetting the so-called independent voters in the audience? Which cable news executive made the call to give the fat, lying criminal this much air-time?",make call,positive
"'All of them are giving a confession', the statement said.",give confession,positive
"'She talked about being a mother and having duties as a duchess and fulfilling what her heart desires - and that it can't just fade away now that you're a duchess,' Modise recalled.",have duty,positive
"'She wasn't referring to being a royal, but life in general when you have challenges,' Modise added, admitting she felt a bit 'awestruck' by Meghan.",have challenge,positive
"'There are days when it's a lot to juggle but then you meet someone and you have an impact on them and you say ah-ha, and it's so rewarding.'",have impact,positive
'This incident has had a big impact on the community in Kenton and I know that residents will come together to support Melissa's family.,have impact,positive
"'We Hope' Biden Has a Plan for Handling Title 42 Ending, 'If They Do, They Haven't Shared It Fully'",have plan,positive
"(PERSON1) Yeah, I haven't tried to do the registration yet for that, but I think that last time, it was compulsory to have the booth.",do registration,positive
"(PERSON10) Yeah, I think - wasn't it Dominik doing some experiments with Ivana?",do experiment,positive
"(PERSON10) Yeah, I think - wasn't it Dominik doing some experiments with Ivana? I think the last year or two years ago for double empty where they were attending the context or concatenating the context with input sentence and doing some sort of document level translation. But the thing is with this with the concatenation is not completely sure whether it has the same effect as we do multi encoder setting-",do experiment,positive
"(PERSON11) It should be doable, so let's give it a try.",give try,positive
"(PERSON17) Yeah, so if there is anyone else who'd be curious about this please let me know or get in touch. So, it's this is something which is which would really be accepted well in generally as a as a paper, because people don't do that yet. And that's the most urgent problem these days. So, we really could make an impact there.",make impact,positive
"(PERSON2) Because like the way I believe Martin does his <unintelligible/> little translation, so he translates more sentences at once and then picks only the centre one and goes like this for the whole document.",do translation,positive
"(PERSON2) Because like the way I believe Martin does his <unintelligible/> little translation, so he translates more sentences at once and then picks only the centre one and goes like this for the whole document. So, the context is like in one <unintelligible/> together with sentence we actually want to translate.",do translation,positive
(PERSON2) But the Flask part or the communication part with the client is something that I cannot do. Because I have no experience and no time to get it running.,have experience,positive
"(PERSON2) Yeah, right now, I'm kind of waiting for the dataset reprocessing from ([PERSON9]). Also [PERSON9] I had a look at the (code), and I think I know why it's so slow. Because for each entry in the terminology in the (Europar) reprocessing, you open the dataset, tokenize it, read it line by line, tokenize it line by line and then close it. But you only you do that -",have look,positive
"(PERSON3) That's yes, that is... like I thought that I also had, but I don't know either of the venues. They have final paper registration in July. So, the conference was in September, and the paper submission was in May.",have registration,positive
"(PERSON3) The thing is, as long as we do the analysis more properly, one thing is the possible adversarial evaluation, just to indicate that that the constraints are actually having an impact on the actual output.",do analysis,positive
"(PERSON3) The thing is, as long as we do the analysis more properly, one thing is the possible adversarial evaluation, just to indicate that that the constraints are actually having an impact on the actual output. That that would be nice and yeah possibly the attention analysis. But I'm not sure it might give us the same answers, basically, if the if the model attends or does not attend to the constraint.",do analysis,positive
"(PERSON3) Well, that is the thing like, I have only a limited knowledge about the task. But I can imagine that you want to rewrite a sentence that it is not written by male, but it is written by a female instead or, I do not know, like you can have a scientific and unscientific explanation of certain phenomena. I'm not really that familiar with the exact data sets and what they cover. And the idea is that the style of the sentences gets quite vaguely defined. So again, not so sure.",have knowledge,positive
"(PERSON6) For the upcoming sessions and I've asked about demand because I've seen the (meme) project demo. They do offline subtitling. So, that's slightly easier than what we do. They still have the same segmentation issues and so on. But their mission in translation is shortening simply because the data is shortening. And that's because their target size is the subtitles, which are created for the hearing-impaired. So, there is like a natural shortening in the data. It'd be great if we could also locate such a type of data where there is some natural shortening happening. We would put it in the architecture.",have issue,positive
"(PERSON8) Yeah, it was tested on logs, I think. So, now it's time to test it on the live pipelines. And again, I think it's better if [PERSON8] explains to [PERSON4] how to do it, so that [PERSON4] runs it for himself some of the workers and live playing some of the problematic file like using [PROJECT8] or whatever. Simply play them. Follow the sound output on your machine and see how that works. Because only when doing the real setup will the true errors appear. It is important to first debug it, using the log files, and then it's important to debug it in the pipeline. And if this debugging can be done by the author of that component, here, in this case [PERSON4], it would be most efficient for all of us. So, [PERSON8], please confirm that you agree with this idea of like do-it-yourself integration.",do setup,positive
"(Reporter: Cui Wei) Since he made his debut 15 years ago, Jay Chou would release a new album every year, but surprisingly, he failed to do so last year.",make debut,positive
"-- During December 25 and 26, 2017, Xi Jinping gave a keynote speech at the meeting of democratic life held by Political Bureau of the Central Committee of the CPC",give speech,positive
"-- On January 11, 2018, Xi Jinping gave a keynote speech during the second plenary session of the 19th Central Commission for Discipline Inspection of the Communist Party of China",give speech,positive
"-- On January 14, 2014, Xi Jinping gave a keynote speech at the 3th plenary session of the 18th Central Commission for Discipline Inspection of the Communist Party of China",give speech,positive
"-- On January 20, 2014, Xi Jinping gave a keynote speech at the summing-up meeting for the first batch & the deployment meeting for the second batch of educational and practical activities concerning the mass line of the Party",give speech,positive
"1.Build a strong community: As someone who works with patients who have terminal illnesses, Eufrosina Young thanks her strong support system for her ability to maintain her energy. Young is a board-certified neurologist and ALS specialist at the Upstate University Hospital's department of neurology, and says they mobilize like an army of people there. There isn't a cure for amyotrophic lateral sclerosis (ALS), but knowing that she isn't the only one putting in the hard work to develop treatments and provide better options for her patients, keeps Young going even on her hardest days. We're not carrying the weight of the world, but being part of a world of people that are advocating for this work, she says.",have illness,positive
10. Defects of the Work / The Work has a defect if it does not have the attributes laid down herein or in the Change Documentation.,have defect,positive
"11.3.1 by taking all steps of the Acceptance Procedure, resolving all the reported Incidents and removing all reported defects of the Upgrade Delivery; or",take step,positive
"11.3.3 by the number of Incidents that constitute defects exceeding the number of defects in the acceptance criteria during the performance of the Acceptance Procedure, which gives the Client the right to suspend the Acceptance Procedure.",give right,positive
"12. Instructions / Should the Client give a written instruction towards fulfilling the subject-matter hereof and unless such an instruction is contrary to the Parties’ legitimate interests, the Contractor shall comply with such an instruction. The Contractor shall inform the Client of the unsuitability of its instructions without undue delay after such an unsuitable instruction is delivered to the Contractor. If it is impossible to give a required instruction in time, the Contractor shall act diligently at its own discretion and with the knowledge of the Client’s anticipated interests.",give instruction,positive
"12.2 If the Agreement does not state otherwise, monetary claims according to the Agreement are payable within 14 days from the date when the liable party received the written notice to make the payment. The Lessor shall be entitled to retain the advance or its part against its monetary claim arising out of the Agreement.",make payment,positive
"12.3 If the Acceptance Procedure is completed as successful, the Parties shall prepare a Record of Takeover of Upgrade Delivery for Use. The draft Record of Takeover of Upgrade Delivery for Use shall be submitted by the Contractor. If the Upgrade Delivery has defects, such a draft record shall always contain a list of defects and the requested deadline for the removal thereof. Not later than one (1) week after the date on which the Client expressed its consent to the draft Record of Takeover of Upgrade Delivery for Use, the Parties shall execute the record. Such model record of takeover of the Upgrade Delivery for use is attached hereto as Annex 11 (Model Record of Takeover of Upgrade Delivery for Use).",have defect,positive
"13.1 If the Upgrade Delivery does not meet the acceptance criteria listed in Annex 9 (Acceptance Procedure), the Acceptance Procedure shall be completed as unsuccessful. The Acceptance Procedure shall also be completed as unsuccessful if the number of defects discovered by the Client exceeds the number of defects in the acceptance criteria during the performance of the Acceptance Procedure, which gives the Client the right to suspend the Acceptance Procedure. Should the Acceptance Procedure be completed as unsuccessful, the Client shall list the defects shown in the Upgrade Delivery handed over for the performance of the Acceptance Procedure and return such a list, together with the Upgrade Delivery, to the Contractor.",give right,positive
"14.5 If all steps of the Acceptance Procedure have been taken and if the Patch Delivery meets all the acceptance criteria listed in Annex 9 (Acceptance Procedure), the Acceptance Procedure shall be completed as successful. If the Patch Delivery fails to resolve all the Incidents included therein, the Contractor shall resolve such Incidents in the next Patch Delivery. Such Incidents are considered unresolved and the Client shall have the right to a contractual penalty.",have right,positive
"15.2 Should the Contractor fail to provide cooperation in resolving an Application-related issue even after a second written call sent by the Client to the Contractor at least three (3) weeks after the date of sending the first call, the Client shall have the right to use the source code in any manner whatsoever, including the modification thereof or handover thereof to a third party for the purposes of modification.",have right,positive
"16. Right to use subcontractors / In order to perform this Contract, the Contractor may use subcontractors. Before the Contractor uses a subcontractor, it shall inform the Client of this fact. The Client shall have the right to refuse using a subcontractor for a serious reason. If the Contractor uses a subcontractor, the Contractor shall be liable for its activities and outputs from the subcontractor’s activities as if those activities were performed by the Contractor itself.",have right,positive
16.1.3 it has the expertise and knowledge corresponding to the latest knowledge in the field of information communication technology appropriate for the performance hereof and for the provision of Services; and that,have expertise,positive
"17.1 When providing Services, the Contractor must not deal with personal data processed by the Beneficiaries. In particular, the Contractor must not deal with personal data of employees, clients of the Beneficiaries or other persons whose personal data is processed by the Beneficiary within its IT systems or otherwise (hereinafter the “Personal Data”). If, for the purposes of a proper provision of Service, it appears necessary during the provision of Services that the Contractor processes Personal Data, the Contractor shall inform the Client of this fact prior to the commencement of the processing, enter into a respective Personal Data processing agreement with the Client and, where appropriate, take further steps so that any Personal Data processing is carried out in line with the applicable legal regulations.",take step,positive
"18.2 All Confidential Information owned by one Party and provided by such a Party to the other Party shall remain in the sole ownership of the Party disclosing such information. In order to protect the Confidential Information of the Party disclosing such information, the Party receiving such information shall make the same effort as if it were its own Confidential Information. The Parties shall only use the Confidential Information for the performance hereof.",make effort,positive
"18.4 By executing this deed, the Contractor notes that when performing this Agreement, it may learn facts constituting a bank secret under Act No. 21/1992 on Banks (hereinafter the “Banking Information”). The Contractor shall not disclose any Banking Information to any third party and it shall not gather, collect, keep, distribute, disclose, process, use or group the Banking Information with other information in any manner whatsoever otherwise than for the purpose of performing this Agreement. During the time of handling the Banking Information, the Contractor shall ensure maximum protection of the Banking Information which may be reasonably required from it against loss, theft, destruction, unauthorised access, random or other damage or other unauthorised use or processing. Following the termination of activities hereunder, the Contractor shall return to the Client without undue delay any Banking Information, copies thereof or records thereof made on data carriers or other media. In any event, the Contractor shall have no right to keep or use the Banking Information for a purpose other than the performance hereof. This obligation as well as the confidentiality obligation shall survive the termination hereof.",have right,positive
"19. Contractual penalty in the event of default / Should the Contractor fail to execute the Work or fail to remove the defects in time, the Contractor shall pay the Client a contractual penalty of 3.3% of the Price and further 0.3% of the Price for each following day of delay.",pay penalty,positive
"19.4 If the Contractor fails to remove a C Category Incident within a time-limit for resolving an C Category Incident, the Contractor shall pay the Client a contractual penalty of CZK 1,000 per day of delay.",pay penalty,positive
"19.5 Should the Contractor fail to resolve the Incident within a reasonable time-limit, the Client shall have the right to use the source codes and make sure, itself or through a third party, that the Incident is resolved. The costs of such Incident resolution shall be borne by the Contractor. The use of source codes under the first sentence of this paragraph shall be without prejudice to all rights arising from the Guarantee of Quality of the Application.",have right,positive
"19.6 If the Contractor fails to provide the Delivery on time when providing the Change Management Service, the Contractor shall pay the Client a one-off contractual penalty of 1% of the Remuneration for the Delivery and, further, 0.1% of such Remuneration per day of delay.",pay penalty,positive
2.2 Change Management service / Implementing changes of the Application functionality based on a change request. The Client or the Contractor may propose changes of the Application functionality in the form of a Change Request. The model Change Request is attached hereto as Annex 8 (Model Change Request). The Contractor may only refuse to make a change of the Application for a serious reason.,make change,positive
2.2.1 The Parties shall make the Change as follows:,make change,positive
"2.3.1 making one-off outputs, procedures, or providing activities to meet operational requirements related to the operation or functionality of the Application; or also",make output,positive
21.4 The Contractor shall compensate the Client for any damage incurred due to a data loss or destruction occurred in relation to the Contractor’s activities. The Contractor shall pay compensation for damage under the preceding sentence including potential third-party rights of recourse against the Beneficiary.,pay compensation,positive
22. Right to assign the Licence / The Client shall have the right to provide all or any rights associated with the Licence to the Beneficiaries.,have right,positive
"24. Exclusive licence to use copyright works / By concluding this Contract, the Contractor shall grant an exclusive authorisation to the Client to exercise all rights to the copyright works created within the execution of the Work. The exclusive authorisation under the preceding sentence shall be granted by the Contractor to the Client to an unlimited extent in terms of geography and volume as well as in all known methods of use for the entire duration of the copyrights of the author of such a Work. The Client shall have the right to assign or grant the above-mentioned authorisations or only some of them to any Beneficiary. All rights and authorisations under this paragraph hereinafter the “Exclusive Licence to Use Copyright Works”. The Price for the Exclusive Licence to Use Copyright Works is included in the Price.",have right,positive
"25. Non-exclusive licence to use copyright works / By concluding this Contract, the Contractor shall grant a non-exclusive authorisation to the Client to use those components of the Work that have not been created based on the Client’s order (such components of the Work hereinafter the “Non-Exclusive Copyright Works”). Non-Exclusive Copyright Works may also be used by the Contractor and other third parties. Non-Exclusive Copyright Works may only be used by the Client for the purposes of using the Work. The Client may not use the Non-Exclusive Copyright Works for a purpose other than the use of the Work. The Client shall have the right to assign or grant the above-mentioned authorisations or only some of them to any Beneficiary. All rights and authorisations under this paragraph hereinafter the “Non-Exclusive Licence to Use Copyright Works”. The use of Copyright Works covered by the Non-Exclusive Licence to Use Copyright Works may not limit or change the use of Copyright Works covered by the Exclusive Licence to Use Copyright Works. The Remuneration for the Non-Exclusive Licence to Use Copyright Works is included in the Remuneration.",have right,positive
"26.1 The Parties shall have the right to terminate this Agreement in writing at any time, without giving reasons. The notice period is six (6) months of the day following the date on which the notice is served upon the other Party.",have right,positive
"26.2 The Parties shall have the right to terminate this Agreement in writing with immediate effect, provided the other Party loses its business licence necessary for the performance of obligations hereunder.",have right,positive
"26.3 The Contractor shall have the right to terminate this Agreement in writing with immediate effect, if:",have right,positive
26.4 The Contractor shall not have the right to terminate this Agreement in relation to those Services for the provision of which it has already received Remuneration from the Client.,have right,positive
"26.5 The Client shall have the right to terminate this Agreement in writing with immediate effect, if:",have right,positive
"3.5 Right to invite experts and advisors / If any Party considers it necessary, the Party shall have the right to invite experts or advisors to the PSC meeting; however, it shall inform the other Party of this fact beforehand, also stating the reasons why the presence of experts or advisors in the PSC meeting is useful.",have right,positive
"3.6 Voting / Following the discussion of each item on the agenda, the PSC members shall vote on the proposals presented with respect to the respective item on the agenda. Each PSC member has one vote.",have vote,positive
30.3 it has the expertise and knowledge corresponding to the latest knowledge in the field of information communication technology appropriate for the performance hereof and for the preparation of the Application; and that,have expertise,positive
33. Consequences of payment of the sanction / Payment of the contractual penalty or another sanction hereunder shall be without prejudice to the obligation to pay the contractual penalty or another sanction in the case of a repeated infringement of the same obligation or in the case of infringement of another obligation hereunder. The obligation to pay a liability secured by contractual penalty or another sanction does not lapse with the payment of the contractual penalty or another sanction. Payment of the contractual penalty or another sanction shall be without prejudice to the claim for compensation for damage incurred due to the infringement hereof.,pay penalty,positive
37. Contractor’s right to terminate the Contract / The Contractor shall have the right to terminate this Contract provided,have right,positive
"39. Right to withdraw from the Contract with immediate effect / Any Party shall have the right to withdraw from this Contract with immediate effect, provided the other Party loses the business licence necessary for the fulfilment of their obligations hereunder or provided insolvency procedure is initiated against the other Party. Withdrawal herefrom shall take effect on the date on which the written withdrawal from this Contract is served upon the other Party.",have right,positive
"4. Description of parameterisation – a document supplementing the Functional Specification – a description of the parameterisation of the Application (e.g. description of the product configuration method, description of setting of accounting regulations, description of configuration of code lists, description of configuration of algorithms, ... ), with emphasis on the exact values of individual parameters together with a description of the demonstration of a change in the relevant value of the parameter in the processing of the Application (business users must understand and know exactly how the Application is parameterised and how it responds to individual values of parameters in order to be able to make potential changes where required in the productive operation), description of the transfer of the parameter configuration from the testing environment to the production environment (the Client must be able to consistently transfer the “tested” parameter configuration from an environment where it prepares it to the production environment)",make change,positive
4. we have the capabilities needed to bring strong customer-facing differentiation to the marketplace.,have capability,positive
"4.5 Right to invite experts and advisors / Where their presence is useful for an effective course of the meeting, both Parties shall have the right to invite experts and advisors or project team members to the PPM meeting.",have right,positive
